rank,title,title_english,title_japanese,type,members,score,year
1,Steins;Gate,Steins;Gate,STEINS;GATE,TV,2707907,9.07,2011
2,Hunter x Hunter (2011),Hunter x Hunter,HUNTER×HUNTER（ハンター×ハンター）,TV,3037461,9.03,2011
5,Nichijou,Nichijou - My Ordinary Life,日常,TV,949390,8.47,2011
6,Mahou Shoujo Madoka★Magica,Puella Magi Madoka Magica,魔法少女まどか★マギカ,TV,1358803,8.38,2011
9,Usagi Drop,Bunny Drop,うさぎドロップ,TV,515021,8.32,2011
11,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Anohana: The Flower We Saw That Day,あの日見た花の名前を僕達はまだ知らない。,TV,1666999,8.29,2011
13,Hotarubi no Mori e,Into the Forest of Fireflies' Light,蛍火の杜へ,Movie,857139,8.27,2011
16,SKET Dance,SKET Dance,スケットダンス,TV,233587,8.2,2011
17,Chihayafuru,Chihayafuru,ちはやふる,TV,483157,8.18,2011
19,Gosick,Gosick,GOSICK -ゴシック-,TV,582775,8.04,2011
22,Hyouge Mono,Hyouge Mono,へうげもの,TV,30772,7.96,2011
24,Mawaru Penguindrum,Penguindrum,輪るピングドラム,TV,311825,7.92,2011
25,Nurarihyon no Mago: Sennen Makyou,Nura: Rise of the Yokai Clan - Demon Capital,ぬらりひょんの孫 千年魔京,TV,170167,7.92,2011
26,Usagi Drop Specials,Bunny Drop Specials,うさぎドロップ,Special,73982,7.92,2011
27,Hanasaku Iroha,Hanasaku Iroha: Blossoms for Tomorrow,花咲くいろは,TV,341953,7.89,2011
28,Carnival Phantasm,Carnival Phantasm,カーニバル・ファンタズム,OVA,205955,7.87,2011
29,Kami nomi zo Shiru Sekai II,The World God Only Knows II,神のみぞ知るセカイ II,TV,403191,7.86,2011
30,K-On!!: Keikaku!,K-On!!: Plan!,けいおん!! 計画!,Special,132000,7.85,2011
31,Beelzebub,Beelzebub,べるぜバブ,TV,618907,7.84,2011
32,Sekaiichi Hatsukoi OVA,Sekaiichi Hatsukoi OVA,世界一初恋 OVA,OVA,73467,7.84,2011
33,Tiger & Bunny,Tiger & Bunny,TIGER & BUNNY （タイガー・アンド・バニー）,TV,234348,7.83,2011
34,Working'!!,Wagnaria!!2,ワーキング’！！,TV,284370,7.81,2011
35,Sekaiichi Hatsukoi 2,Sekai Ichi Hatsukoi - World's Greatest First Love 2,世界一初恋 2,TV,174541,7.81,2011
36,Break Blade Movie 5: Shisen no Hate,Broken Blade 5,ブレイク ブレイド 死線ノ涯,Movie,56785,7.79,2011
37,Coquelicot-zaka kara,From Up on Poppy Hill,コクリコ坂から,Movie,220261,7.78,2011
38,Saiyuuki Gaiden,Saiyuuki Gaiden,最遊記外伝,OVA,14356,7.77,2011
39,Hidamari Sketch x SP,Hidamari Sketch x SP,ひだまりスケッチ×SP,TV Special,16852,7.76,2011
40,Seitokai Yakuindomo OVA,Seitokai Yakuindomo OVA,生徒会役員共 OAD,OVA,134506,7.75,2011
41,Shiki Specials,Shiki Specials,屍鬼,Special,74868,7.75,2011
42,Koukaku Kidoutai: Stand Alone Complex - Solid State Society 3D,Ghost in the Shell: Stand Alone Complex - Solid State Society 3D,攻殻機動隊 S.A.C. Solid State Society 3D,Movie,17532,7.72,2011
43,Luo Xiao Hei Zhan Ji,The Legend of Luoxiaohei,罗小黑战记,ONA,6565,7.7,2011
44,Hourou Musuko,Wandering Son,放浪息子,TV,134822,7.68,2011
45,Break Blade Movie 6: Doukoku no Toride,Broken Blade 6,ブレイク ブレイド 第六章 慟哭ノ砦,Movie,56441,7.67,2011
46,Baka to Test to Shoukanjuu Ni!,Baka & Test – Summon the Beasts 2,バカとテストと召喚獣 にっ！,TV,380154,7.66,2011
47,Mitsudomoe Zouryouchuu!,Mitsudomoe Zouryouchuu!,みつどもえ増量中！,TV,48223,7.65,2011
48,Kimi to Boku.,You and Me.,君と僕。,TV,193243,7.65,2011
49,Sekaiichi Hatsukoi,Sekai Ichi Hatsukoi - World's Greatest First Love,世界一初恋 TV,TV,225769,7.61,2011
50,The iDOLM@STER,THE IDOLM@STER,アイドルマスター,TV,157476,7.6,2011
