rank,title,title_english,title_japanese,type,members,score,year
1,Fullmetal Alchemist,Fullmetal Alchemist,鋼の錬金術師,TV,1522119,8.11,2003
2,Wolf's Rain,Wolf's Rain,ウルフズレイン,TV,343953,7.79,2003
3,Kino no Tabi: The Beautiful World,Kino's Journey,キノの旅 -the Beautiful World-,TV,340364,8.28,2003
4,Tokyo Godfathers,Tokyo Godfathers,東京ゴッドファーザーズ,Movie,315461,8.28,2003
6,Texhnolyze,Texhnolyze,TEXHNOLYZE,TV,272881,7.75,2003
7,Planetes,Planetes,プラネテス,TV,269771,8.25,2003
8,Chrno Crusade,Chrono Crusade,クロノクルセイド,TV,233285,7.6,2003
9,Gungrave,Gungrave,ガングレイヴ,TV,212037,7.81,2003
10,Gunslinger Girl,Gunslinger Girl,ガンスリンガー・ガール,TV,198062,7.38,2003
11,D.N.Angel,D.N.Angel,Ｄ・Ｎ・ＡＮＧＥＬ,TV,189231,7.16,2003
12,Last Exile,Last Exile,LAST EXILE（ラストエグザイル）,TV,181960,7.78,2003
14,Shingetsutan Tsukihime,Lunar Legend Tsukihime,真月譚 月姫,TV,176186,6.79,2003
15,Ikkitousen,Ikki Tousen: Battle Vixens,一騎当千,TV,172089,6.37,2003
17,Sakigake!! Cromartie Koukou,Cromartie High School,魁!! クロマティ高校,TV,149598,7.88,2003
18,Kimi ga Nozomu Eien,Rumbling Hearts,君が望む永遠,TV,147048,7.16,2003
19,Konjiki no Gash Bell!!,Zatch Bell!,金色のガッシュベル!!,TV,133570,7.55,2003
21,Green Green,Green Green,グリーングリーン,TV,120652,6.13,2003
25,Scrapped Princess,Scrapped Princess,スクラップド・プリンセス,TV,100728,7.36,2003
26,Maburaho,Maburaho,まぶらほ,TV,100558,6.72,2003
27,Bobobo-bo Bo-bobo,Bobobo-bo Bo-bobo,ボボボーボ・ボーボボ,TV,98630,7.5,2003
30,Kaleido Star,Kaleido Star,カレイドスター,TV,90329,7.9,2003
32,The Animatrix,The Animatrix,アニマトリックス,OVA,89174,7.3,2003
33,Sonic X,Sonic X,ソニック X,TV,86799,6.62,2003
34,Mermaid Melody Pichi Pichi Pitch,Mermaid Melody: Pichi Pichi Pitch,マーメイドメロディー ぴちぴちピッチ,TV,86556,7.2,2003
35,Interstella5555: The 5tory of The 5ecret 5tar 5ystem,Interstella5555: The 5tory of The 5ecret 5tar 5ystem,インターステラ5555,Movie,79049,8.13,2003
36,D.C.: Da Capo,D.C.~Da Capo~,D.C.～ダ・カーポ～,TV,78213,6.71,2003
41,Peace Maker Kurogane,Peace Maker Kurogane,PEACE MAKER 鐵,TV,60036,7.29,2003
46,Gilgamesh,Gilgamesh,ギルガメッシュ,TV,44736,6.59,2003
47,Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,Requiem from the Darkness,京極夏彦　巷説百物語,TV,42376,7.07,2003
48,Air Master,Air Master,エアマスター,TV,42183,6.94,2003
49,Matantei Loki Ragnarok,Mythical Detective Loki Ragnarok,魔探偵ロキ RAGNAROK,TV,40481,7.24,2003
50,Chobits Recap,Chobits: Hibiya and Kotoko Chat,ちょびっツ,Special,38836,6.93,2003
