rank,title,title_english,title_japanese,type,members,score,year,image_url
1,Mononoke Hime,Princess Mononoke,もののけ姫,Movie,1330154,8.67,1997,https://cdn.myanimelist.net/images/anime/1355/147277.jpg
2,Kenpuu Denki Berserk,Berserk,剣風伝奇ベルセルク,TV,723288,8.6,1997,https://cdn.myanimelist.net/images/anime/1384/119988.jpg
4,Shoujo Kakumei Utena,Revolutionary Girl Utena,少女革命ウテナ,TV,236483,8.22,1997,https://cdn.myanimelist.net/images/anime/1078/95285.jpg
5,Kindaichi Shounen no Jikenbo,The File of Young Kindaichi,金田一少年の事件簿,TV,35046,7.94,1997,https://cdn.myanimelist.net/images/anime/1702/120440.jpg
7,Yuusha-Ou GaoGaiGar,King of Braves GaoGaiGar,勇者王ガオガイガー,TV,24236,7.83,1997,https://cdn.myanimelist.net/images/anime/12/21183.jpg
8,Flanders no Inu (Movie),The Dog of Flanders,フランダースの犬 (1997),Movie,35957,7.81,1997,https://cdn.myanimelist.net/images/anime/3/75599.jpg
11,Chuuka Ichiban!,Cooking Master Boy,中華一番,TV,21184,7.6,1997,https://cdn.myanimelist.net/images/anime/6/75283.jpg
17,Pokemon,Pokémon,ポケットモンスター,TV,660227,7.41,1997,https://cdn.myanimelist.net/images/anime/1787/140239.jpg
18,Rekka no Honoo,Flame of Recca,烈火の炎,TV,70648,7.34,1997,https://cdn.myanimelist.net/images/anime/1646/113504.jpg
22,Yume no Crayon Oukoku,Crayon Kingdom of Dreams,夢のクレヨン王国,TV,5464,7.24,1997,https://cdn.myanimelist.net/images/anime/11/28591.jpg
26,Kyuuketsuhime Miyu (TV),Vampire Princess Miyu,吸血姫美夕,TV,43759,7.12,1997,https://cdn.myanimelist.net/images/anime/1427/134363.jpg
31,Photon,Photon: The Idiot Adventures,フォトン,OVA,16435,7,1997,https://cdn.myanimelist.net/images/anime/1984/94161.jpg
32,Jungle Taitei Movie (1997),Jungle Emperor Leo,ジャングル大帝　劇場版,Movie,5093,6.99,1997,https://cdn.myanimelist.net/images/anime/1367/99917.jpg
33,Dr. Slump,Dr. Slump,ドクタースランプ,TV,19624,6.98,1997,https://cdn.myanimelist.net/images/anime/1475/116861.jpg
34,Elf wo Karu Mono-tachi II,Those Who Hunt Elves II,エルフを狩るモノたち II,TV,14774,6.97,1997,https://cdn.myanimelist.net/images/anime/1919/92736.jpg
35,Hyper Police,Hyper Police,はいぱーぽりす,TV,12841,6.94,1997,https://cdn.myanimelist.net/images/anime/1401/119360.jpg
36,Super Fishing Grander Musashi,Super Fishing Grander Musashi,スーパーフィッシング グランダー武蔵,TV,5680,6.92,1997,https://cdn.myanimelist.net/images/anime/5/21184.jpg
37,Doraemon Movie 18: Nobita no Nejimaki City Boukenki,Doraemon the Movie: Nobita and the Spiral City,映画 ドラえもん のび太のねじ巻き都市[シティー]冒険記,Movie,5081,6.89,1997,https://cdn.myanimelist.net/images/anime/12/72423.jpg
38,The☆Doraemons: Kaitou Dorapin Nazo no Chousenjou!,The☆Doraemons: The Mysterious Thief Dorapan The Mysterious Cartel,ザ☆ドラえもんズ 怪盗ドラパン謎の挑戦状！,Movie,2994,6.86,1997,https://cdn.myanimelist.net/images/anime/1073/134134.jpg
39,Shin Tenchi Muyou!,Tenchi in Tokyo,新・天地無用!,TV,39053,6.86,1997,https://cdn.myanimelist.net/images/anime/4/61149.jpg
40,Battle Athletess Daiundoukai (TV),Battle Athletes Victory,バトルアスリーテス大運動会,TV,10730,6.85,1997,https://cdn.myanimelist.net/images/anime/1203/117431.jpg
41,Jigoku Sensei Nube: Gozen 0 Ji Nube Shisu!,Hell Teacher Nube: 0 a.m. Nube Dead,地獄先生ぬ～べ～　午前0時ぬ～べ～死す！！,Movie,3072,6.84,1997,https://cdn.myanimelist.net/images/anime/1140/148921.jpg
42,Rayearth,Rayearth,レイアース,OVA,17772,6.84,1997,https://cdn.myanimelist.net/images/anime/1824/97041.jpg
43,Clamp Gakuen Tanteidan,CLAMP School Detectives,CLAMP学園探偵団,TV,15865,6.83,1997,https://cdn.myanimelist.net/images/anime/1709/111109.jpg
44,Macross Dynamite 7,Macross Dynamite 7,マクロスダイナマイト7,OVA,15029,6.8,1997,https://cdn.myanimelist.net/images/anime/1412/138778.jpg
45,Jigoku Sensei Nube: Kyoufu no Natsuyasumi!! Ayashi no Umi no Densetsu!,Hell Teacher Nube: Summer Holiday of Fear! Legend of the Sea of Suspicion,地獄先生ぬ～べ～　恐怖の夏休み！！妖しの海の伝説！,Movie,3291,6.78,1997,https://cdn.myanimelist.net/images/anime/9/21282.jpg
46,Shinpi no Sekai El-Hazard Season 2,El Hazard 2: The Magnificent World,神秘の世界 エルハザード 第2期,OVA,10170,6.76,1997,https://cdn.myanimelist.net/images/anime/11/2796.jpg
47,TWO-MIX: White Reflection,TWO-MIX: White Reflection,TWO-MIX: WHITE REFLECTION,Music,2675,6.75,1997,https://cdn.myanimelist.net/images/anime/4/34687.jpg
48,Shin Tenchi Muyou! Specials,Shin Tenchi Muyou! Specials,新・天地無用!,Special,4587,6.72,1997,https://cdn.myanimelist.net/images/anime/8/24199.jpg
49,Kindaichi Shounen no Jikenbo: Shinigami Byouin Satsujin Jiken,Kindaichi Shounen no Jikenbo: Shinigami Byouin Satsujin Jiken,金田一少年の事件簿 SP「死神病院殺人事件」,Special,1856,6.71,1997,
50,Bakumatsu no Spasibo,Bakumatsu no Spasibo,幕末のスパシーボ,Movie,1910,6.65,1997,https://cdn.myanimelist.net/images/anime/11/71979.jpg
