rank,title,title_english,title_japanese,type,members,score,year
1,Dragon Ball Z Movie 05: Tobikkiri no Saikyou tai Saikyou,Dragon Ball Z: Cooler's Revenge,ドラゴンボールZ とびっきりの最強対最強,Movie,158950,7.07,1991
2,Omoide Poroporo,Only Yesterday,おもひでぽろぽろ,Movie,158082,7.44,1991
3,Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,Dragon Ball Z: Lord Slug,ドラゴンボールZ 超サイヤ人だ孫悟空,Movie,127566,6.54,1991
4,Oniisama e...,Dear Brother,おにいさまへ…,TV,52734,7.86,1991
5,Kidou Senshi Gundam 0083: Stardust Memory,Mobile Suit Gundam 0083: Stardust Memory,機動戦士ガンダム0083 STARDUST MEMORY,OVA,49287,7.21,1991
6,Roujin Z,Roujin Z,老人Ｚ,Movie,41820,7.04,1991
7,Kidou Senshi Gundam F91,Mobile Suit Gundam F91,機動戦士ガンダムＦ91,Movie,35862,6.59,1991
8,Otaku no Video,Otaku no Video,おたくのビデオ,OVA,34277,7.11,1991
9,3x3 Eyes,3x3 Eyes,3×3EYES,OVA,30444,6.7,1991
10,City Hunter '91,City Hunter '91,シティーハンター'91,TV,27768,7.75,1991
11,Dragon Quest: Dai no Daibouken (TV),Dragon Quest: The Adventure of Dai,ドラゴンクエスト・ダイの大冒険,TV,25591,7.56,1991
12,Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!,"Ranma ½: Big Trouble in Nekonron, China",らんま 1/2 中国寝崑崙大決戦! 掟やぶりの激闘編!!,Movie,24380,7.23,1991
13,Arslan Senki,The Heroic Legend of Arslan,アルスラーン戦記,OVA,23077,6.88,1991
14,Ushiro no Shoumen Daare,Who's Left Behind?,うしろの正面だあれ,Movie,15176,7.7,1991
15,Bubblegum Crash,Bubblegum Crash,バブルガムクラッシュ,OVA,14018,6.52,1991
16,Doraemon Movie 12: Nobita no Dorabian Nights,Doraemon the Movie: Nobita's Dorabian Nights,映画 ドラえもん のび太のドラビアンナイト,Movie,13686,7.37,1991
17,Teito Monogatari,Doomed Megalopolis,帝都物語,OVA,13024,5.91,1991
18,Burn Up!,Burn Up!,バーンナップ,OVA,11312,6.04,1991
19,Koko wa Green Wood,Here is Greenwood,ここはグリーン・ウッド,OVA,11276,6.77,1991
20,Future GPX Cyber Formula,Future GPX Cyber Formula,新世紀GPXサイバーフォーミュラ,TV,10430,7.35,1991
21,Urusei Yatsura Movie 6: Itsudatte My Darling,Urusei Yatsura Movie 6: Always My Darling,うる星やつら いつだって・マイ・ダーリン,Movie,10052,6.76,1991
22,RG Veda,RG Veda,聖伝,OVA,9712,6.05,1991
23,Kyoushoku Soukou Guyver II,The Guyver: Bio-Booster Armor,強殖装甲ガイバー II,OVA,9535,6.97,1991
24,Trapp Ikka Monogatari,The Trapp Family Story,トラップ 一家 物語,TV,9390,7.62,1991
25,Fushigi no Umi no Nadia: Original Movie,Nadia: The Secret of Blue Water - The Motion Picture,ふしぎの海のナディア 劇場用オリジナル版,Movie,9248,5.27,1991
26,Ningyo no Mori,Mermaid Forest,人魚の森,OVA,8783,6.68,1991
27,Sukeban Deka,Delinquent Detective,スケバン刑事,OVA,8164,6.43,1991
28,Honoo no Tenkousei,Honoo no Tenkousei,炎の転校生,OVA,8032,6.58,1991
29,Lupin III: Napoleon no Jisho wo Ubae,Lupin III: Napoleon's Dictionary,ルパン三世『ナポレオンの辞書を奪え』,TV Special,7737,6.59,1991
30,Detonator Orgun,Detonator Orgun,デトネイター・オーガン,OVA,7587,6.37,1991
31,Tanoshii Muumin Ikka Bouken Nikki,Tanoshii Muumin Ikka Bouken Nikki,楽しいムーミン一家 冒険日記,TV,7495,7.5,1991
32,Anime Himitsu no Hanazono,The Secret Garden,アニメ ひみつの花園,TV,6784,7.09,1991
33,Yokoyama Mitsuteru Sangokushi,Yokoyama Mitsuteru Sangokushi,横山光輝 三国志,TV,6741,7.35,1991
34,Kekkou Kamen,Kekkou Kamen,けっこう仮面,OVA,6628,5.66,1991
35,Maison Ikkoku: Bangai-hen - Ikkokujima Nanpa Shimatsuki,Maison Ikkoku: Bangai-hen - Ikkokujima Nanpa Shimatsuki,めぞん一刻番外編 一刻島ナンパ始末記,OVA,6591,6.82,1991
36,Silent Möbius: The Motion Picture,Silent Möbius: The Motion Picture,サイレントメビウス／THE MOTION PICTURE,Movie,6294,6.24,1991
37,Dark Cat,Dark Cat,ダークキャット,OVA,6195,3.26,1991
38,Honoo no Toukyuuji: Dodge Danpei,Honoo no Toukyuuji: Dodge Danpei,炎の闘球児・ドッジ弾平,TV,6005,7.3,1991
39,Chuumon no Ooi Ryouriten (1991),Chuumon no Ooi Ryouriten (1991),注文の多い料理店,Movie,5914,6.23,1991
40,Ninja Ryuukenden,Ninja Gaiden,忍者龍剣伝,OVA,5727,5.65,1991
41,Abashiri Ikka,The Abashiri Family,あばしり一家,OVA,5258,5.29,1991
42,Soujuu Senshi Psychic Wars,Psychic Wars,捜獣戦士サイキック・ウォーズ,OVA,5224,3.17,1991
43,Moero! Top Striker,Top Striker,燃えろ! トップストライカー,TV,5066,6.72,1991
44,Fushigi no Umi no Nadia Omake Gekijou,Nadia: Secret of Blue Water Specials,ふしぎの海のナディア おまけ劇場,Special,5013,6.48,1991
45,Kinnikuman: Kinnikusei Oui Soudatsu-hen,Kinnikuman: Kinnikusei Oui Soudatsu-hen,キン肉マン　キン肉星王位争奪編,TV,4889,6.83,1991
46,Yami no Shihoukan Judge,Judge,闇の司法官ジャッジ,OVA,4808,5.39,1991
47,Mahou no Princess Minky Momo: Yume wo Dakishimete,Fairy Princess Minky Momo 2nd,魔法のプリンセス　ミンキーモモ（夢を抱きしめて）,TV,4698,6.88,1991
48,Taiyou no Yuusha Fighbird,Brave of the Sun Fighbird,太陽の勇者ファイバード,TV,4609,6.95,1991
49,Kingyo Chuuihou!,Goldfish Warning!,きんぎょ注意報！,TV,4416,7.14,1991
50,Capricorn,Capricorn,カプリコン,OVA,4371,5.38,1991
