rank,title,title_english,title_japanese,type,members,score,year
1,Urusei Yatsura,Urusei Yatsura,うる星やつら,TV,96016,7.71,1981
2,Kidou Senshi Gundam I,Mobile Suit Gundam I,劇場版　機動戦士ガンダム I　特別編,Movie,49982,7.25,1981
3,Kidou Senshi Gundam II: Ai Senshi-hen,Mobile Suit Gundam II: Soldiers of Sorrow,機動戦士ガンダムⅡ　哀・戦士編,Movie,39932,7.33,1981
4,Daicon Opening Animations,Daicon Opening Animations,DAICONオープニングアニメ,Special,23033,7.7,1981
5,Dr. Slump: Arale-chan,Dr. Slump: Arale-chan,Dr.スランプ・アラレちゃん,TV,18014,7.2,1981
6,Hyakujuu-Ou GoLion,Voltron: Defender of the Universe,百獣王ゴライオン,TV,13644,6.83,1981
7,Ninja Hattori-kun,Ninja Hattori-kun,忍者ハットリくん,TV,12666,6.98,1981
8,Sayonara Ginga Tetsudou 999: Andromeda Shuuchakueki,Adieu Galaxy Express 999,さよなら銀河鉄道999 -アンドロメダ終着駅-,Movie,10623,7.25,1981
9,Kazoku Robinson Hyouryuuki: Fushigi na Shima no Flone,The Swiss Family Robinson: Flone of the Mysterious Island,家族ロビンソン漂流記ふしぎな島のフローネ,TV,7892,7.33,1981
10,Tiger Mask Nisei,Tiger Mask Nisei,タイガーマスク二世,TV,7281,7.31,1981
11,Taiyou no Kiba Dougram,Taiyou no Kiba Dougram,太陽の牙ダグラム,TV,7169,7.41,1981
12,Hello! Sandybell,Hello! Sandybell,ハロー！サンディベル,TV,7115,7.07,1981
13,Natsu e no Tobira,Natsu e no Tobira,夏への扉,Movie,7110,5.91,1981
14,Unico,The Fantastic Adventures Of Unico,ユニコ,Movie,6981,7.12,1981
15,Shin Taketori Monogatari: 1000-nen Joou,Queen Millennia,新竹取物語１０００年女王,TV,6766,7.12,1981
16,Uchuu Densetsu Ulysses 31,Ulysses 31,宇宙伝説ユリシーズ31,TV,6539,7.1,1981
17,Sirius no Densetsu,The Sea Prince and the Fire Child,シリウスの伝説,Movie,6532,6.69,1981
18,Dash! Kappei,Dash! Kappei,ダッシュ勝平,TV,6152,7.15,1981
19,Doraemon Movie 02: Nobita no Uchuu Kaitakushi,"Doraemon the Movie: The Records of Nobita, Spaceblazer",映画 ドラえもん のび太の宇宙開拓史,Movie,6082,6.97,1981
20,Ashita no Joe 2 (Movie),Tomorrow's Joe 2 The Movie,あしたのジョー２,Movie,5828,7.26,1981
21,Jarinko Chie,Chie the Brat,じゃりン子チエ,Movie,5101,7.03,1981
22,Maicching Machiko-sensei,Miss Machiko,まいっちんぐマチコ先生,TV,4640,6.19,1981
23,Sekai Meisaku Douwa: Hakuchou no Mizuumi,Swan Lake,世界名作童話 白鳥の湖,Movie,4463,6.91,1981
24,Meiken Jolie,Belle and Sebastian,名犬ジョリィ,TV,4338,6.78,1981
25,Wanwan Sanjuushi,Dogtanian and the Three Muskehounds,ワンワン三銃士,TV,4015,6.78,1981
26,Sengoku Majin Goushougun,Macron 1,戦国魔神ゴーショーグン,TV,3988,6.54,1981
27,Doraemon: Kaette Kita Doraemon,Doraemon: Doraemon Comes Back,帰ってきたドラえもん,Special,3703,7.09,1981
28,Rokushin Gattai GodMars,God Mars,六神合体ゴッドマーズ,TV,3471,6.34,1981
29,Ohayou! Spank,Ohayou! Spank,おはよう！スパンク,TV,3468,6.71,1981
30,Ginga Senpuu Braiger,Galactic Cyclone Braiger,銀河旋風ブライガー,TV,3261,6.76,1981
31,Ai no Gakkou Cuore Monogatari,Ai no Gakkou Cuore Monogatari,愛の学校 クオレ物語,TV,3051,6.61,1981
32,Anime Oyako Gekijou,Superbook,アニメ 親子劇場,TV,2935,6.19,1981
33,Dr. Slump Movie 01: Arale-chan Hello! Fushigi Shima,Dr. Slump and Arale-chan: Hello! Wonder Island,Dr.スランプ アラレちゃん ハロー！不思議島,Movie,2930,6.28,1981
34,"Doraemon Movie: Boku, Momotarou no Nanna no Sa","Doraemon Movie: Boku, Momotarou no Nanna no Sa",映画 ドラえもん ぼく、桃太郎のなんなのさ,Movie,2855,6.5,1981
35,Time Bokan Series: Yattodetaman,Firebird,タイムボカンシリーズ　ヤットデタマン,TV,2367,6.4,1981
36,Yuki,Yuki: Snow Fairy,ゆき,Movie,2286,6.03,1981
37,Kyoufu Densetsu Kaiki! Frankenstein,The Monster Of Frankenstein,恐怖伝説　怪奇！フランケンシュタイン,TV Special,2229,5.66,1981
38,Uchuu Senshi Baldios (Movie),Space Warrior Baldios,宇宙戦士バルディオス,Movie,2164,6.3,1981
39,Wakakusa no Yon Shimai,Little Women,若草の四姉妹,TV,2040,6.44,1981
40,Jarinko Chie (TV),Jarinko Chie (TV),じゃりン子チエ,TV,1754,6.67,1981
41,Jiu Se Lu,Jiu Se Lu,九色鹿,Movie,1672,5.95,1981
42,Hashire Melos (1981),Run Melos,走れメロス,TV Special,1661,5.35,1981
43,"Arano no Sakebi Koe: Hoero, Buck",The Call of the Wild,荒野の呼び声 吠えろバック,TV Special,1650,6.46,1981
44,Honey Honey no Suteki na Bouken,Honey Honey's Wonderful Adventures,ハニーハニーのすてきな冒険,TV,1572,6.3,1981
45,Saikyou Robot Daiouja,Saikyou Robot Daiouja,最強ロボ ダイオージャ,TV,1560,6.36,1981
46,Ougon Senshi Gold Lightan,Golden Warrior: The Gold Lightan,黄金戦士ゴールド・ライタン,TV,1545,6.08,1981
47,Dr. Slump: Arale-chan Specials,Dr. Slump: Arale-chan Specials,Dr.スランプアラレちゃんスペシャル,Special,1530,5.88,1981
48,Bremen 4: Jigoku no Naka no Tenshi-tachi,Bremen 4,ブレーメン４ 地獄の中の天使たち,TV Special,1527,5.92,1981
49,Manga Mitokoumon,Manga Mitokoumon,まんが水戸黄門,TV,1492,6.64,1981
50,Sugata Sanshirou,Judo Story,姿三四郎,TV Special,1378,6.11,1981
