rank,title,title_english,title_japanese,type,members,score,year,image_url
4,Shiguang Dailiren,Link Click,時光代理人,ONA,440321,8.72,2021,https://cdn.myanimelist.net/images/anime/1135/114867.jpg
7,Odd Taxi,Odd Taxi,オッドタクシー,TV,480045,8.64,2021,https://cdn.myanimelist.net/images/anime/1981/113348.jpg
14,Ousama Ranking,Ranking of Kings,王様ランキング,TV,714302,8.49,2021,https://cdn.myanimelist.net/images/anime/1347/117616.jpg
19,Vivy: Fluorite Eye's Song,Vivy -Fluorite Eye's Song-,Vivy -Fluorite Eye's Song- (ヴィヴィ -フローライトアイズソング-),TV,582017,8.38,2021,https://cdn.myanimelist.net/images/anime/1551/128960.jpg
22,Mushoku Tensei: Isekai Ittara Honki Dasu,Mushoku Tensei: Jobless Reincarnation,無職転生 ～異世界行ったら本気だす～,TV,1476187,8.35,2021,https://cdn.myanimelist.net/images/anime/1530/117776.jpg
25,Fumetsu no Anata e,To Your Eternity,不滅のあなたへ,TV,941746,8.34,2021,https://cdn.myanimelist.net/images/anime/1880/118484.jpg
26,86,86 Eighty-Six,86―エイティシックス―,TV,892741,8.33,2021,https://cdn.myanimelist.net/images/anime/1987/117507.jpg
34,Horimiya,Horimiya,ホリミヤ,TV,1528452,8.19,2021,https://cdn.myanimelist.net/images/anime/1695/111486.jpg
39,Eiga Daisuki Pompo-san,Pompo: The Cinéphile,映画大好きポンポさん,Movie,60417,8.13,2021,https://cdn.myanimelist.net/images/anime/1210/119193.jpg
48,Pui Pui Molcar,Pui Pui Molcar,PUI PUI モルカー,TV,18700,8.01,2021,https://cdn.myanimelist.net/images/anime/1484/119197.jpg
50,SK∞,SK8 the Infinity,SK∞ エスケーエイト,TV,603736,8,2021,https://cdn.myanimelist.net/images/anime/1549/119195.jpg
56,Love Live! Superstar!!,Love Live! SuperStar!!,ラブライブ！スーパースター!!,TV,76173,7.92,2021,https://cdn.myanimelist.net/images/anime/1758/115692.jpg
